irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
37264|NEWHM : B079.04|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Coucal||Non palearctic skin of a Lesser Coucal||Lesser Coucal|Cuculidae : : : Aves : Chordata|Stevens, H.|1904-09-|Asia, India, Upper Assam, Sibsagar, Komlabarie||1|late juvenile (?)||non palearctic skin|Stevens, H.|||||||<SUMMARY-DESCRIPT>: Before repair.|1
37269|NEWHM : B079.09|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Red-winged Crested Cuckoo||Non palearctic skin of a Red-winged Crested Cuckoo||Red-winged Crested Cuckoo|Cuculidae : : : Aves : Chordata|Stevens, H.|15/10/1903|Asia, India, Upper Assam, Dibrugarh, Rungagora||1|||non palearctic skin|Stevens, H.||||||||1
37272|NEWHM : B079.12|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Large Hawk-cuckoo||Non palearctic skin of a Large Hawk-cuckoo. Testes enlarged.||Large Hawk-cuckoo|Cuculidae : : : Aves : Chordata|Stevens, H.|31/03/1911|Asia, India, Darjeeling, Rungbong Valley, Gopaldhara|1||adult||non palearctic skin|Stevens, H.||230|mm|||||1
37316|NEWHM : B079.56|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Black Bittern||Non palearctic skin of a Black Bittern.Scruffy specimen.||Black Bittern|Dupetor flavicollis : Ardeidae : Pelecaniformes : Aves : Chordata|Stevens, H.|1908|Asia, India, Upper Assam, North Lakhimpur, Dejoo||1|juvenile||non palearctic skin|Stevens, H.||||||||1
37317|NEWHM : B079.57|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Black Bittern||Non palearctic skin of a Black Bittern||Black Bittern|Dupetor flavicollis : Ardeidae : Pelecaniformes : Aves : Chordata|Stevens, H.|1904-09-|Asia, India, Upper Assam, Sibsagar, Komlabarie|1||||non palearctic skin|Stevens, H.||||||||1
37318|NEWHM : B079.58|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Black Bittern||Non palearctic skin of a Black Bittern||Black Bittern|Dupetor flavicollis : Ardeidae : Pelecaniformes : Aves : Chordata|Stevens, H.|1904-09-|Asia, India, Upper Assam, Sibsagar, Komlabarie||1|juvenile||non palearctic skin|Stevens, H.||||||||1
37319|NEWHM : B079.59|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Black Bittern||Non palearctic skin of a Black Bittern||Black Bittern|Dupetor flavicollis : Ardeidae : Pelecaniformes : Aves : Chordata|Stevens, H.|07/06/1904|Asia, India, Upper Assam, North Lakhimpur, Dejoo|||||non palearctic skin|||||||||1
37320|NEWHM : B079.60|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Black Bittern||Non palearctic skin of a Black Bittern||Black Bittern|Dupetor flavicollis : Ardeidae : Pelecaniformes : Aves : Chordata|Stevens, H.|1908|Asia, India, Upper Assam, North Lakhimpur, Dejoo|1||||non palearctic skin|Stevens, H.||||||||1
37321|NEWHM : B079.61|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Asian open-bill Stork||Non palearctic skin of an Asian Open-bill Stork. Breeding plumage.||Asian Open-bill Stork|Ciconiidae : : : Aves : Chordata|Inglis, C. M.|20/07/1904|Asia, India, Tirhut, Darbhanga, Baghownie|1||adult|breeding plumage|non palearctic skin|||||||||1
37322|NEWHM : B079.62|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Asian Open-bill Stork||Non palearctic skin of an Asian Open-bill Stork. Breeding plumage.||Asian Open-bill Stork|Ciconiidae : : : Aves : Chordata|Inglis, C. M.|20/07/1904|Asia, India, Tirhut, Darbhanga, Baghownie||1|adult|breeding plumage|non palearctic skin|||||||||1
