irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
134940|NEWHM : HANM.3.4801|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134941|NEWHM : HANM.3.4802|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134942|NEWHM : HANM.3.4803|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|3|rock||Concretionary Limestone.|||||||||||||||||||||1
134943|NEWHM : HANM.3.4804|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134944|NEWHM : HANM.3.4805|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134945|NEWHM : HANM.3.4806|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|6|rock||Concretionary Limestone.|||||||||||||||||||||1
134946|NEWHM : HANM.3.4807|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone.|||||||||||||||||||||1
134955|NEWHM : HANM.3.4817|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (sedimentary)||Ironstone (prev. no. 126, sedimentary rocks chemical drawer 2)|||||||||||||||||||||1
135065|NEWHM : HANM.3.4960|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Concretionary Limestone|||||||||||||||||||||1
135140|NEWHM : HANM.4.466|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Unidentified limestone.||||||||||||||||||||Thought to associate to records NEWHM : HANM.4.465 - 466, but this needs to be confirmed|1
135390|NEWHM : HANM.4.855|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral|coal ash|Ash resulting from the burning of coal.||Ash|||||||||||||||||||1
135437|NEWHM : HANM.4.902|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|3|mineral|amber|Amber||Amber|||||||||||||||||||1
135438|NEWHM : HANM.4.903|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|7|mineral|amber|Amber with insects.||Amber|||||||||||||||||||1
135467|NEWHM : HANM.4.935|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|Mineral||Azurite (not Biotite,as previously assigned).  Russian mineral collection.||Azurite||Carbonate|||||||||||||||||1
135505|NEWHM : HANM.4.974|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Alabaster, pink.||Gypsum||sulphate|||||||||||||||||1
135604|NEWHM : HANM.4.1084|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||rock||Protosyne granitic rock.|||||||||||||||||||||1
135614|NEWHM : HANM.4.1094|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral|Chert-red|Chert-red variety.|||||||||||||||||||||1
135621|NEWHM : HANM.4.1101|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral|Resinous Opal Brown|Resinous opal brown variety.|||||||||||||||||||||1
135623|NEWHM : HANM.4.1103|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral|Resinous Opal White|Resinous opal- white variety.|||||||||||||||||||||1
135633|NEWHM : HANM.4.1113|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral|Porcelain Opal Green|Porcelain opal- green variety.|||||||||||||||||||||1
135635|NEWHM : HANM.4.1115|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Alloite with pearly obsidian.|||||||||||||||||||||1
136852|NEWHM : HANM.5.35|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|3|rock (igneous)|Lava/Volcanic|Lava/Volcanic rock from Golan Heights, Israel.|||||||||||||||||||||1
137681|NEWHM : HANM.5.1064|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Felsite.|||||||||||||||||||||1
137682|NEWHM : HANM.5.1065|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|3|rock||'crush' breccia.|||||||||||||||||||||1
137683|NEWHM : HANM.5.1066|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Granophyre.|||||||||||||||||||||1
137685|NEWHM : HANM.5.1068|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|rock||Volcanic tuff.|||||||||||||||||||||1
138156|NEWHM : HANM.5.1603|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock (igneous)|Rose Granite|Rose granite from Aswan, Egypt.||Granite|||||||||||||||||||7
138172|NEWHM : HANM.5.1619|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Alabaster from an Alabaster factory, Kolna Village, Egypt.|||||||||||||||||||||7
138174|NEWHM : HANM.5.1621|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock|Limestone|Limestone from tomb area of Prince Amenhezhebeshf.|||||||||||||||||||||7
138229|NEWHM : HANM.5.1676|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138230|NEWHM : HANM.5.1677|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138232|NEWHM : HANM.5.1679|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138233|NEWHM : HANM.5.1680|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
138658|NEWHM : HANM.5.2128|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|2|rock||Red sandstone.|||||||||||||||||||||1
139130|NEWHM : HANM.5.2641|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers||mineral||Unidentified mineral.|||||||||||||||||||||1
139156|NEWHM : HANM.5.2683|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|9|mineral||Minerals.|||||||||||||||||||||1
139294|NEWHM : HANM.5.2857|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Carboniferous Limestone.|||||||||||||||||||||1
139747|NEWHM : HANM.5.3648|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Biotite sample. biotite sample (open display igneous)|||||||||||||||||||||8
139748|NEWHM : HANM.5.3650|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Orthoclase sample. orthoclase sample (open display igneous)|||||||||||||||||||||8
139750|NEWHM : HANM.5.3653|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral||Oligoclase sample. oligoclase sample (open display igneous)|||||||||||||||||||||8
139754|NEWHM : HANM.5.3657|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Raindrop sedimentary sample. (open display sedimentary)|||||||||||||||||||||1
139756|NEWHM : HANM.5.3659|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Cracked mudstone  (open display sedimentary).|||||||||||||||||||||8
139757|NEWHM : HANM.5.3660|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|rock||Ripple marked sandstone. (open display sedimentary)|||||||||||||||||||||8
139763|NEWHM : HANM.5.3688|Natural Sciences|Earth Sciences|GNM: Hancock Temporary Numbers|1|mineral|Baryte|Baryte. Open display of raw and refined Baryte|||||||||||||||||||||1
