irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
123821|NEWHM : HANM.1.3564|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123822|NEWHM : HANM.1.3565|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123823|NEWHM : HANM.1.3566|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123824|NEWHM : HANM.1.3567|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123825|NEWHM : HANM.1.3568|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123826|NEWHM : HANM.1.3569|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123827|NEWHM : HANM.1.3570|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123828|NEWHM : HANM.1.3571|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123829|NEWHM : HANM.1.3572|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123830|NEWHM : HANM.1.3573|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123831|NEWHM : HANM.1.3574|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123832|NEWHM : HANM.1.3575|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123833|NEWHM : HANM.1.3576|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123834|NEWHM : HANM.1.3577|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123835|NEWHM : HANM.1.3578|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123836|NEWHM : HANM.1.3579|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123837|NEWHM : HANM.1.3580|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123838|NEWHM : HANM.1.3581|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123839|NEWHM : HANM.1.3582|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123840|NEWHM : HANM.1.3583|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123841|NEWHM : HANM.1.3584|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123842|NEWHM : HANM.1.3585|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123843|NEWHM : HANM.1.3586|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123844|NEWHM : HANM.1.3587|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123845|NEWHM : HANM.1.3588|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123846|NEWHM : HANM.1.3589|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123847|NEWHM : HANM.1.3590|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
