irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530483|NEWHM : 2016.H3.38|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Russula sanguiuea"" and ""Blutrother Laubling"". Number 38 of 91, Box M, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||52|59|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530484|NEWHM : 2016.H3.39|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 39 of 91, Box M, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||37|49|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530485|NEWHM : 2016.H3.40|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 40 of 91, Box M, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||51|42|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530486|NEWHM : 2016.H3.41|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 41 of 91, Box M, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||46|41|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530487|NEWHM : 2016.H3.42|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 42 of 91, Box M, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||35|39|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530488|NEWHM : 2016.H3.43|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus melleus"" and ""Hallifch"". Broken/damaged. Number 43 of 91, Box N, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||100|66|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530498|NEWHM : 2016.H3.53|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi unlabelled"". Number 53 of 91, Box Q, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||32|52|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530499|NEWHM : 2016.H3.54|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 54 of 91, Box Q, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||57|48|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530500|NEWHM : 2016.H3.55|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. fascicularis"" and ""Bufderliger Gchnefetfopf"". Number 55 of 91, Box Q, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||57|35|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530501|NEWHM : 2016.H3.56|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 56 of 91, Box Q, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||45|28|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
