irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
195698|NEWHM : 00672|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Oxfordshire (SE England), Oxford|Lea, River||||||Amalgamated Collection|||1
195699|NEWHM : 00673|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Greater Manchester, Marple|Marple Canal||||||Amalgamated Collection|||1
195700|NEWHM : 00674|Natural Sciences|Invertebrate Zoology|Molluscs||8|mollusc|||||Mollusca & & & : : : : Mollusca|Leckenby, J. Esquire||UK, England, North Yorkshire (NE England), Scarborough|||||||Amalgamated Collection|||1
195701|NEWHM : 00675|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, London (SE England), Homerton|||||||Amalgamated Collection|||1
195702|NEWHM : 00676|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & & & : : : : Mollusca||20/03/1910|UK, England, Tyne and Wear (NE England), Callerton|||||||Amalgamated Collection|||1
195703|NEWHM : 00677|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Northumberland (NE England), Ponteland|||||||Amalgamated Collection|||1
195705|NEWHM : 00679|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||||Mollusca & & & : : : : Mollusca|Oliver, A. M.|1918|UK, England, Tyne and Wear (NE England), Brenkley|||||||Amalgamated Collection|||1
195715|NEWHM : 00689|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Scotswood Heughs|||||||Amalgamated Collection|||1
195718|NEWHM : 00692|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Merseyside (NW England), Liverpool, Word Burn|||||||Amalgamated Collection|||1
195721|NEWHM : 00695|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Merseyside (NW England), Liverpool, Knotty Ash|||||||Amalgamated Collection|||1
195722|NEWHM : 00696|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Kent (SE England), Taversham|||||||Amalgamated Collection|||1
195724|NEWHM : 00698|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Cambridgeshire (SE England), Cambridge|||||||Amalgamated Collection|||1
195728|NEWHM : 00702|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca|Choules, A.||UK, England, Kent (SE England), Acton|||||||Amalgamated Collection|||1
195729|NEWHM : 00703|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|Thompson, W.||Europe, Ireland|||||||Amalgamated Collection|||1
195730|NEWHM : 00704|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|Bean, W.||Europe, Ireland|||||||Amalgamated Collection|||1
195796|NEWHM : 00770|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|Blackburn, Reverend E. P.|1932-06-|UK, England, Co. Durham (NE England), Morden Carr|||||||Amalgamated Collection|||1
195797|NEWHM : 00771|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, London (SE England), Hampton Wick|||||||Amalgamated Collection|||1
195798|NEWHM : 00772|Natural Sciences|Invertebrate Zoology|Molluscs||11|mollusc|||||Mollusca & & & : : : : Mollusca|Bolam, George||UK, England, Lincolnshire (Midland England)|||||||Amalgamated Collection|||1
195799|NEWHM : 00773|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, North Yorkshire (NE England), York|||||||Amalgamated Collection|||1
195800|NEWHM : 00774|Natural Sciences|Invertebrate Zoology|Molluscs||8|mollusc|||||Mollusca & & & : : : : Mollusca|Blackburn, Reverend E. P.|02/09/1933|UK, England, Co. Durham (NE England), Morden Carr|||||||Amalgamated Collection|||1
195801|NEWHM : 00775|Natural Sciences|Invertebrate Zoology|Molluscs||8|mollusc|||||Mollusca & & & : : : : Mollusca||1910-07-|UK, England, Northumberland (NE England), Druridge Bay (stream)|||||||Amalgamated Collection|||1
195802|NEWHM : 00776|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Hampshire (SE England), Whitchurch|Test, River||||||Amalgamated Collection|||1
195803|NEWHM : 00777|Natural Sciences|Invertebrate Zoology|Molluscs||5|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear (NE England), Dunston|||||||Amalgamated Collection|||1
195804|NEWHM : 00778|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear, Newcastle upon Tyne (nr.)|||||||Amalgamated Collection|||1
195805|NEWHM : 00779|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Tyne and Wear, Newcastle upon Tyne (nr.)|||||||Amalgamated Collection|||1
195806|NEWHM : 00780|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & & & : : : : Mollusca|Mailes, Geo||UK, England, Northumberland (NE England), Prestwick Carr|||||||Amalgamated Collection|||1
195807|NEWHM : 00781|Natural Sciences|Invertebrate Zoology|Molluscs||7|mollusc|||||Mollusca & & & : : : : Mollusca|||Whitley|||||||Amalgamated Collection|||1
195808|NEWHM : 00782|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Hampshire (SE England), Whitchurch|||||||Amalgamated Collection|||1
195809|NEWHM : 00783|Natural Sciences|Invertebrate Zoology|Molluscs||13|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Berkshire (SE England), Hungerford, Inkpen|||||||Amalgamated Collection|||1
195810|NEWHM : 00784|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & & & : : : : Mollusca||1910-03-|UK, England, Greater Manchester, Compstall, Springwood (pond)|||||||Amalgamated Collection|||1
195811|NEWHM : 00785|Natural Sciences|Invertebrate Zoology|Molluscs||10|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, London (nr.)|||||||Amalgamated Collection|||1
195812|NEWHM : 00786|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Hampshire (SE England), Whitchurch|||||||Amalgamated Collection|||1
195813|NEWHM : 00787|Natural Sciences|Invertebrate Zoology|Molluscs||7|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, North Yorkshire (NE England), York|||||||Amalgamated Collection|||1
