irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
143282|NEWHM : HANM.542|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil fish||Fish (notelops brama, cretaceous fossils drawer)|||||||||||||||||||11
143284|NEWHM : HANM.544|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil gastropod||Gastropod or sea-snail (volutocorbis ambigua 1, tertiary fossils drawer 3)|||||||||||||||||||11
143300|NEWHM : HANM.570|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil bryozoan||Bryozoan sea fan (Fenestella, Permian and Triassic fossils case)||||||||||||||||||incorrect identifier, the correct number is NEWHM : HANM.570|1
143303|NEWHM : HANM.582|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil vertebrate|Dinosaur|Dinosaur bone (Cretaceous, Jurassic and Cretaceous fossils case)|||||||||||||||||||1
143308|NEWHM : HANM.591|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil mammal|tusk|Elephant tusk.|||||||||||||||||||1
143315|NEWHM : HANM.629|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil vertebrate||Unidentified specimen (sphenoid bone).|||||||||||||||||||1
143681|NEWHM : HANM.1685|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|17|specimen||17 unaccessioned specimens.|||||||||||||||||||1
143686|NEWHM : HANM.1690|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|14|specimen||14 unaccessioned specimens.|||||||||||||||||||1
143696|NEWHM : HANM.1701|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified||1 bag of unaccessioned material.|||||||||||||||||||1
143697|NEWHM : HANM.1702|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|11|specimen||11 unaccessioned specimens.|||||||||||||||||||1
143698|NEWHM : HANM.1703|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|10|specimen||10 unaccessioned specimens.|||||||||||||||||||1
143699|NEWHM : HANM.1704|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|2|specimen||2 bagged unaccessioned specimens.|||||||||||||||||||1
143700|NEWHM : HANM.1705|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|specimen||1 unaccessioned specimen.|||||||||||||||||||1
143701|NEWHM : HANM.1706|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|3|specimens||3 bagged unaccessioned specimens.|||||||||||||||||||1
143702|NEWHM : HANM.1707|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|6|specimen||6 unaccessioned specimens.|||||||||||||||||||1
143739|NEWHM : HANM.1865|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|7|fossil plant||Bags of fossil plants (7).|||||||||||||||||||1
143915|NEWHM : HANM.2931|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143916|NEWHM : HANM.2932|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers||cordaioxylon||Cordaioxylon.|||||||||||||||||||1
143917|NEWHM : HANM.2933|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143918|NEWHM : HANM.2934|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143919|NEWHM : HANM.2935|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143920|NEWHM : HANM.2936|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143921|NEWHM : HANM.2937|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143922|NEWHM : HANM.2938|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143923|NEWHM : HANM.2939|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143924|NEWHM : HANM.2940|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|2|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143925|NEWHM : HANM.2941|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143927|NEWHM : HANM.2943|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143929|NEWHM : HANM.2945|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|16|unidentified specimen||Box of unidentified specimens.|||||||||||||||||||1
143930|NEWHM : HANM.2946|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143931|NEWHM : HANM.2947|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143932|NEWHM : HANM.2948|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143933|NEWHM : HANM.2949|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fossil wood.|||||||||||||||||||1
143947|NEWHM : HANM.2965|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Fern stem.|||||||||||||||||||1
